,T_Creation Date,T_Status,T_SRN,T_Type of SR,T_Tree Location,T_Street Address,T_Zip,T_X-Coordinate,T_Y-Coordinate,T_Ward,T_Police_District,T_Community_Area,T_Latitude,T_Longitude
64,2018-12-14T00:00:00.000,Open - Dup,18-03359784,Tree Trim,Parkway,7342 W GREENLEAF AVE,60631,1126288.89671182,1946264.05797032,41,16,9,42.008892671773864,-87.81069975315248
65,2018-12-14T00:00:00.000,Open,18-03357048,Tree Trim,Location Not Recorded,2257 N KEDZIE BLVD,60647,1154659.29240067,1915061.34217859,32,14,22,41.922747811829865,-87.70715513959576
66,2018-12-14T00:00:00.000,Open,18-03362154,Tree Trim,Parkway,10902 S BELL AVE,60643,1163720.79351106,1832299.86420553,19,22,75,41.6954541179956,-87.676185441637
67,2018-12-14T00:00:00.000,Completed,18-03361140,Tree Trim,Location Not Recorded,2615 N GREENVIEW AVE,60614,1166037.73497014,1917545.22819258,32,19,7,41.929328127388985,-87.66527598726255
68,2018-12-14T00:00:00.000,Open,18-03362019,Tree Trim,Parkway,5943 N OTTAWA AVE,60631,1124344.59787483,1938655.6900021,41,16,10,41.9880469142708,-87.81802200857788
69,2018-12-14T00:00:00.000,Open,18-03361017,Tree Trim,Parkway,4313 W CORTEZ ST,60651,1147383.81012833,1906647.66007043,37,11,23,41.89980249618749,-87.7341038322997
70,2018-12-14T00:00:00.000,Completed,18-03361132,Tree Trim,Location Not Recorded,2637 N GREENVIEW AVE,60614,1165907.83497014,1917768.62819258,32,19,7,41.92994392571211,-87.6657469376233
71,2018-12-14T00:00:00.000,Completed,18-03361137,Tree Trim,Location Not Recorded,2626 N GREENVIEW AVE,60614,1165882.13497014,1917634.32819258,32,19,7,41.929575948130626,-87.66584522009086
72,2018-12-14T00:00:00.000,Open,18-03360563,Tree Trim,Location Not Recorded,1439 W ELMDALE AVE,60660,1165632.5041323,1939960.49139685,48,20,77,41.990845187608265,-87.66612372977801
73,2018-12-14T00:00:00.000,Open,18-03357057,Tree Trim,Location Not Recorded,2872 W LELAND AVE,60625,1156216.84928618,1931085.67368878,33,17,14,41.96668830658084,-87.70099779026107
74,2018-12-14T00:00:00.000,Open,18-03360591,Tree Trim,Location Not Recorded,5955 N GREENVIEW AVE,60660,1165248.62991882,1939567.92490834,48,20,77,41.989776172491986,-87.66754693196408
75,2018-12-14T00:00:00.000,Open,18-03359038,Tree Trim,Parkway,9550 S COLFAX AVE,60617,1195176.08999553,1842107.55000034,10,4,51,41.721651107351796,-87.56069627671712
76,2018-12-14T00:00:00.000,Open,18-03360509,Tree Trim,Location Not Recorded,1453 W ELMDALE AVE,60660,1165538.86492715,1939958.39712154,48,20,77,41.99084144223012,-87.66646821596055
77,2018-12-14T00:00:00.000,Completed,18-03360539,Tree Trim,Location Not Recorded,11227 S LANGLEY AVE,60628,1182917.44517197,1830653.38731835,9,5,50,41.69051256317697,-87.6059513322205
78,2018-12-14T00:00:00.000,Open,18-03359035,Tree Trim,Parkway,5828 N ORIOLE AVE,60631,1124677.34576933,1937861.18006825,41,16,10,41.98586119682577,-87.81681573082082
79,2018-12-14T00:00:00.000,Open,18-03360596,Tree Trim,Location Not Recorded,5957 N GREENVIEW AVE,60660,1165247.42991882,1939578.12490834,48,20,77,41.989804187172396,-87.66755105409706
80,2018-12-14T00:00:00.000,Open,18-03361796,Tree Trim,Parkway,3114 N CHRISTIANA AVE,60618,1153511.85279273,1920514.90721249,35,14,21,41.937735743813974,-87.71122583497603
81,2018-12-14T00:00:00.000,Open,18-03361989,Tree Trim,Parkway,10720 S RIDGEWAY AVE,60655,1153254.01067249,1833258.80151086,19,22,74,41.698298376284754,-87.7144830294956
82,2018-12-14T00:00:00.000,Completed,18-03361348,Tree Trim,Location Not Recorded,1128 N LEAMINGTON AVE,60651,1141823.152304,1907027.29020084,37,15,25,41.9009490099115,-87.75451902663987
83,2018-12-14T00:00:00.000,Completed,18-03360528,Tree Trim,Location Not Recorded,10409 S EBERHART AVE,60628,1181418.73098758,1836051.27558617,9,5,49,41.705359693313376,-87.61127248560645
84,2018-12-14T00:00:00.000,Open,18-03361556,Tree Trim,Parkway,7447 W HOWARD ST,60631,1125664.15610963,1949879.0305987,41,16,9,42.018822918479344,-87.8129175386486
85,2018-12-14T00:00:00.000,Open,18-03357066,Tree Trim,Location Not Recorded,2953 W EASTWOOD AVE,60625,1155849.69178326,1930697.93700076,33,17,14,41.96563176240029,-87.70235827689781
86,2018-12-14T00:00:00.000,Open,18-03359485,Tree Trim,Parkway,10725 S MORGAN ST,60643,1171557.77071656,1833588.33997932,34,22,75,41.698822236403885,-87.64745404056127
87,2018-12-14T00:00:00.000,Open - Dup,18-03362134,Tree Trim,Parkway,4354 W SCHUBERT AVE,60639,1146888.56207929,1917595.06998333,31,25,20,41.929852757662886,-87.73564268041673
88,2018-12-14T00:00:00.000,Completed,18-03361311,Tree Trim,Location Not Recorded,2641 W BELDEN AVE,60647,1158202.25281309,1915172.81009233,1,14,22,41.922981957159486,-87.69413406065931
89,2018-12-14T00:00:00.000,Open - Dup,18-03362343,Tree Trim,Parkway,5405 W HENDERSON ST,60641,1139739.80173091,1921745.29376663,30,16,15,41.94137513908609,-87.76181114616874
90,2018-12-14T00:00:00.000,Completed,18-03359853,Tree Trim,Location Not Recorded,2301 N WASHTENAW AVE,60647,1157813.56971106,1915175.33876609,1,14,22,41.92299683747485,-87.69556214826406
91,2018-12-14T00:00:00.000,Open - Dup,18-03358965,Tree Trim,Parkway,7411 S OGLESBY AVE,60649,1193158.92418701,1856279.83321385,7,3,43,41.76059052764324,-87.56762276924405
92,2018-12-14T00:00:00.000,Open,18-03358008,Tree Trim,Parkway,6412 S RHODES AVE,60637,1181004.14273002,1862616.84607061,20,3,42,41.778268187649026,-87.61197519652536
93,2018-12-14T00:00:00.000,Completed,18-03359845,Tree Trim,Location Not Recorded,2327 N WASHTENAW AVE,60647,1157806.01122178,1915435.23408736,1,14,22,41.9237101639191,-87.69558281863763
94,2018-12-14T00:00:00.000,Completed,18-03359763,Tree Trim,Location Not Recorded,7159 S ARTESIAN AVE,60629,1161280.36168726,1857111.12931588,18,8,66,41.763590991513475,-87.68443590317052
95,2018-12-14T00:00:00.000,Open,18-03360494,Tree Trim,Location Not Recorded,1459 W ELMDALE AVE,60660,1165498.76492715,1939957.39712154,48,20,77,41.99083955495241,-87.66661574147308
96,2018-12-14T00:00:00.000,Completed,18-03361286,Tree Trim,Location Not Recorded,2626 N MEADE AVE,60639,1135288.26241356,1916815.52892724,30,25,19,41.92792759613623,-87.77828988722571
97,2018-12-14T00:00:00.000,Open - Dup,18-03359719,Tree Trim,Parkway,12035 S STATE ST,60628,1178423.99318402,1825017.05011849,9,5,53,41.67514855987112,-87.62257223021297
98,2018-12-14T00:00:00.000,Completed,18-03358416,Tree Trim,Parkway,3336 S CALUMET AVE,60616,1179142.35962412,1882933.55568222,4,2,35,41.834061665179135,-87.61818076706417
99,2018-12-14T00:00:00.000,Completed,18-03359908,Tree Trim,Location Not Recorded,3338 S CALUMET AVE,60616,1179142.75962412,1882919.55568222,4,2,35,41.83402323900896,-87.61817972705425
100,2018-12-14T00:00:00.000,Completed,18-03359842,Tree Trim,Location Not Recorded,2358 N WASHTENAW AVE,60647,1157801.51122178,1915623.13408736,1,14,22,41.924225867346365,-87.69559421862682
101,2018-12-14T00:00:00.000,Completed,18-03361307,Tree Trim,Location Not Recorded,2629 W BELDEN AVE,60647,1158282.55281309,1915174.41009233,1,14,22,41.92298470480096,-87.69383896680021
102,2018-12-14T00:00:00.000,Completed,18-03361389,Tree Trim,Location Not Recorded,2824 N SAWYER AVE,60618,1154225.10670146,1918601.36681362,35,14,21,41.9324706103797,-87.70865572415069
103,2018-12-14T00:00:00.000,Completed,18-03361148,Tree Trim,Location Not Recorded,2622 N ASHLAND AVE,60614,1165218.96457881,1917489.97122177,32,19,7,41.929193965461344,-87.66828629057247
104,2018-12-14T00:00:00.000,Completed,18-03359849,Tree Trim,Location Not Recorded,2324 N WASHTENAW AVE,60647,1157806.91122178,1915405.23408736,1,14,22,41.923627823313716,-87.69558033151343
105,2018-12-14T00:00:00.000,Open,18-03360565,Tree Trim,Location Not Recorded,1443 W ELMDALE AVE,60660,1165605.7041323,1939959.89139685,48,20,77,41.99084411409956,-87.66622232343403
106,2018-12-14T00:00:00.000,Open,18-03360527,Tree Trim,Location Not Recorded,1445 W ELMDALE AVE,60660,1165592.4041323,1939959.59139685,48,20,77,41.990843575176044,-87.66627125243858
