,P_Creation Date,P_Status,P_SRN,P_Type of SR,P_Street Address,P_ Zip,P_X-Coordinate,P_Y-Coordinate,P_ Ward,P_Police_District,P_Community_Area,P_Latitude,P_Longitude,P_No_of_potholes_filled_on_block
79,2018-12-17T00:00:00.000,Open,18-03385110,Pothole in Street,4180 W 82ND ST,60652,1149961.97427802,1849732.88718016,18,8,70,41.74365709218734,-87.72643422579526,0
80,2018-12-17T00:00:00.000,Open - Dup,18-03383938,Pothole in Street,6126 N CENTRAL AVE,60646,1138672.75999472,1940661.77998146,39,16,12,41.993321415144095,-87.76541626342281,0
81,2018-12-17T00:00:00.000,Open - Dup,18-03383448,Pothole in Street,6459 S CENTRAL AVE,60638,1140199.81946995,1861100.86308788,13,8,64,41.774438983976864,-87.76143851514215,0
82,2018-12-17T00:00:00.000,Open - Dup,18-03385359,Pothole in Street,1000 W 108TH ST,60643,1171570.85810865,1833200.86227797,34,22,75,41.697866493817806,-87.64759465514607,0
83,2018-12-17T00:00:00.000,Open,18-03386050,Pothole in Street,1053 E 92ND ST,60619,1184927.05809962,1844194.53478883,8,4,47,41.72752282915539,-87.59764889828494,0
84,2018-12-17T00:00:00.000,Open,18-03378466,Pothole in Street,1405 W BELLE PLAINE AVE,60613,1166191.5288731,1927333.52757783,47,19,6,41.9560719242627,-87.66458335711005,0
85,2018-12-17T00:00:00.000,Open,18-03383637,Pothole in Street,2251 S SPRINGFIELD AVE,60623,1150736.86688949,1888751.87172451,22,10,30,41.85010451857165,-87.7220917483531,0
86,2018-12-17T00:00:00.000,Open,18-03382605,Pothole in Street,9036 S CLAREMONT AVE,60643,1162287.24363194,1844663.99651457,19,22,72,41.728964651476446,-87.68122368217455,0
87,2018-12-17T00:00:00.000,Open,18-03383529,Pothole in Street,5499 W GALE ST,60630,1138791.6002086,1932040.48628687,45,16,11,41.96959568063578,-87.76490591295338,0
88,2018-12-17T00:00:00.000,Open,18-03385464,Pothole in Street,5001 S LA CROSSE AVE,60638,1144869.98971519,1871031.38837191,22,8,56,41.80204240167932,-87.74408775005476,0
89,2018-12-17T00:00:00.000,Open - Dup,18-03382056,Pothole in Street,1001 W MONROE ST,60607,1169787.28988757,1899747.68138926,25,12,28,41.88029792411268,-87.65212018836681,0
90,2018-12-17T00:00:00.000,Open,18-03378942,Pothole in Street,1940 W NORTH AVE,60622,1163043.404925,1910661.152875,2,14,24,41.91061014015064,-87.67661047795522,0
91,2018-12-17T00:00:00.000,Open - Dup,18-03381051,Pothole in Street,4118 N RIDGEWAY AVE,60618,1150655.57329408,1927110.51711151,39,17,16,41.9561571036796,-87.72170494531612,0
92,2018-12-17T00:00:00.000,Open,18-03382198,Pothole in Street,1348 E 89TH ST,60619,1186757.03007687,1846238.33683425,8,4,48,41.73330381435226,-87.59106354295659,0
93,2018-12-17T00:00:00.000,Completed - Dup,18-03378790,Pothole in Street,415 S FINANCIAL PL,60605,1174948.39997362,1898426.27996782,4,1,32,41.876479996475894,-87.63295634334027,0
94,2018-12-17T00:00:00.000,Open,18-03381400,Pothole in Street,1644 N CAMPBELL AVE,60647,1159445.30297113,1910853.05051695,1,14,24,41.91162476020431,-87.68984235410377,0
95,2018-12-17T00:00:00.000,Open - Dup,18-03382924,Pothole in Street,5046 N AVERS AVE,60625,1149804.01901532,1933256.08799748,39,17,14,41.9733138637925,-87.72467756176701,0
96,2018-12-17T00:00:00.000,Open,18-03383018,Pothole in Street,10300 S COTTAGE GROVE AVE,60628,1182710.77469903,1836817.85018685,9,5,49,41.70740511783126,-87.6066722152349,0
97,2018-12-17T00:00:00.000,Open - Dup,18-03381946,Pothole in Street,6711 W GRAND AVE,60707,1131268.820007,1915218.65022619,36,25,18,41.92350783399178,-87.79292057686727,0
98,2018-12-17T00:00:00.000,Open,18-03384523,Pothole in Street,300 S HOMAN AVE,60624,1153764.16231857,1898484.48919117,28,11,27,41.877259891814624,-87.71103208695621,0
99,2018-12-17T00:00:00.000,Open,18-03378282,Pothole in Street,5606 W BRYN MAWR AVE,60646,1137798.72709535,1936879.05288981,45,16,11,41.98304770582163,-87.76867807380378,0
100,2018-12-17T00:00:00.000,Open,18-03378285,Pothole in Street,10556 S INDIANAPOLIS AVE,60617,1204904.60220407,1835673.07937259,10,4,52,41.70312195660828,-87.5251248470275,0
101,2018-12-17T00:00:00.000,Open,18-03382506,Pothole in Street,7300 W WAVELAND AVE,60634,1126760.51431053,1923602.85586689,38,16,17,41.94680751945703,-87.80954293156405,0
102,2018-12-17T00:00:00.000,Open - Dup,18-03384653,Pothole in Street,11203 S AVENUE J,60617,1202544.56399931,1831289.99379387,10,4,52,41.691690165121436,-87.53392872671725,0
103,2018-12-17T00:00:00.000,Open - Dup,18-03381377,Pothole in Street,6000 N CENTRAL AVE,60646,1138470.75402589,1939744.0090788,39,16,12,41.99088902192185,-87.76616908690622,0
104,2018-12-17T00:00:00.000,Open - Dup,18-03382183,Pothole in Street,1049 W MONROE ST,60607,1169434.88988757,1899737.38138926,25,12,28,41.880270041162525,-87.65386738598002,0
105,2018-12-17T00:00:00.000,Open,18-03386292,Pothole in Street,2356 E 71ST ST,60649,1193227.469982,1858258.3814703,5,3,43,41.76643484190554,-87.5667285266227,0
106,2018-12-17T00:00:00.000,Open - Dup,18-03385410,Pothole in Street,6400 N CENTRAL AVE,60646,1139065.68897259,1942131.004668,41,16,12,41.99738872050268,-87.76392151927979,0
107,2018-12-17T00:00:00.000,Open - Dup,18-03384077,Pothole in Street,811 W 98TH ST,60643,1172588.81652404,1839823.02991431,34,22,73,41.71579729345971,-87.64357992208025,0
108,2018-12-17T00:00:00.000,Open,18-03382611,Pothole in Street,3021 N NEWLAND AVE,60634,1129559.36468945,1919405.52007994,36,25,18,41.9351089372232,-87.79913507224762,0
109,2018-12-17T00:00:00.000,Open,18-03379483,Pothole in Street,9900 S GREEN ST,60643,1172391.93988806,1839200.82380657,34,22,73,41.714111405033535,-87.64437988550142,0
110,2018-12-17T00:00:00.000,Open - Dup,18-03385655,Pothole in Street,4119 W 82ND ST,60652,1150510.51930441,1849769.29057803,18,8,70,41.74347485642057,-87.72423771297979,0
111,2018-12-17T00:00:00.000,Open - Dup,18-03385674,Pothole in Street,4115 W 82ND PL,60652,1150328.9656272,1849476.59600037,18,8,70,41.74275057788119,-87.72475489936316,0
112,2018-12-17T00:00:00.000,Open - Dup,18-03379971,Pothole in Street,2541 N MARSHFIELD AVE,60614,1164905.5763285,1916942.08927879,32,19,7,41.92816497615842,-87.66932231266541,0
113,2018-12-17T00:00:00.000,Open,18-03385654,Pothole in Street,4155 W 82ND PL,60652,1150049.87000743,1849468.21099262,18,8,70,41.74272561139866,-87.7262279068276,0
114,2018-12-17T00:00:00.000,Open,18-03380286,Pothole in Street,3542 N PULASKI RD,60641,1149096.31226721,1923380.65009403,30,17,16,41.94583563191895,-87.72753030453865,0
115,2018-12-17T00:00:00.000,Open - Dup,18-03383861,Pothole in Street,4300 W SCHUBERT AVE,60639,1147257.3372273,1917603.74688422,31,25,20,41.929977591103324,-87.73441418623048,0
116,2018-12-17T00:00:00.000,Open,18-03378283,Pothole in Street,5603 W SEMINOLE ST,60646,1137835.15556751,1937545.06988387,45,16,11,41.98465596005587,-87.7684540439741,0
117,2018-12-17T00:00:00.000,Open,18-03386304,Pothole in Street,6836 S SOUTH SHORE DR,60649,1193409.40599874,1860100.93993088,5,3,43,41.77061952039603,-87.56671434472828,0
118,2018-12-17T00:00:00.000,Open - Dup,18-03382288,Pothole in Street,1037 W MONROE ST,60607,1169522.98988757,1899739.98138926,25,12,28,41.88027699711,-87.65343066474605,0
119,2018-12-17T00:00:00.000,Open,18-03384650,Pothole in Street,6447 S STONY ISLAND AVE,60637,1187987.30001998,1862549.51996782,5,3,42,41.77740716847427,-87.58620654970282,0
120,2018-12-17T00:00:00.000,Open,18-03380063,Pothole in Street,6030 N NAGLE AVE,60646,1132611.38529668,1939606.43299118,41,16,10,41.99104440231843,-87.78773227744551,0
121,2018-12-17T00:00:00.000,Open,18-03382525,Pothole in Street,6962 W NELSON ST,60634,1129324.46468945,1919490.82007994,36,25,18,41.93547671289403,-87.80053763462963,0
122,2018-12-17T00:00:00.000,Open,18-03378054,Pothole in Street,4142 N WESTERN AVE,60618,1159628.42662471,1927545.24998883,47,19,5,41.95711542660115,-87.68870484915179,0
123,2018-12-17T00:00:00.000,Open,18-03379830,Pothole in Street,2305 W 34TH ST,60608,1161524.13052066,1882086.55220144,12,9,59,41.83201089933672,-87.68289224737207,0
124,2018-12-17T00:00:00.000,Open - Dup,18-03385040,Pothole in Street,3200 W DIVISION ST,60651,1154811.84069413,1907804.70387224,26,14,23,41.902940471512245,-87.70691351268165,0
125,2018-12-17T00:00:00.000,Open - Dup,18-03382585,Pothole in Street,1067 W MONROE ST,60607,1169302.81937259,1899733.49228872,25,12,28,41.88025972510174,-87.65452292137972,0
126,2018-12-17T00:00:00.000,Open - Dup,18-03382546,Pothole in Street,2952 N SAYRE AVE,60634,1129073.46450026,1918927.75011361,29,25,18,41.93422554958617,-87.80123931568468,0
127,2018-12-17T00:00:00.000,Open,18-03379342,Pothole in Street,4830 S KEATING AVE,60632,1145506.57919804,1872182.16020474,14,8,56,41.8048706782867,-87.74200549806393,0
128,2018-12-17T00:00:00.000,Open,18-03379292,Pothole in Street,854 E 40TH ST,60653,1182837.77511855,1878432.60420368,4,2,36,41.82188761389607,-87.60432147305595,0
129,2018-12-17T00:00:00.000,Open,18-03381825,Pothole in Street,7558 W DEVON AVE,60631,1125036.81682883,1941926.20672501,41,16,9,41.99710778572572,-87.81587891536907,0
130,2018-12-17T00:00:00.000,Open - Dup,18-03383489,Pothole in Street,9500 S STONY ISLAND AVE,60617,1188504.43430277,1842299.31671488,8,5,51,41.72225727300588,-87.58527556507723,0
131,2018-12-17T00:00:00.000,Open - Dup,18-03378243,Pothole in Street,620 S KOSTNER AVE,60624,1147150.73592304,1896850.70848194,24,11,26,41.87289883192081,-87.73535703886408,0
132,2018-12-17T00:00:00.000,Open,18-03379518,Pothole in Street,10200 S HALSTED ST,60628,1172777.87178041,1837211.18950197,34,22,73,41.708643985185354,-87.64302434778298,0
133,2018-12-17T00:00:00.000,Open - Dup,18-03382317,Pothole in Street,4900 N OAK PARK AVE,60656,1130246.04529918,1932177.08548641,41,16,10,41.97026117103271,-87.79660953533383,0
134,2018-12-17T00:00:00.000,Open,18-03382491,Pothole in Street,3800 N OLCOTT AVE,60634,1125397.36032319,1924343.06227072,38,16,17,41.94882449625926,-87.8146176172865,0
135,2018-12-17T00:00:00.000,Completed,18-03378491,Pothole in Street,719 N DRAKE AVE,60624,1152585.37098817,1904606.18652342,27,11,23,41.89433511721722,-87.71491241815832,0
136,2018-12-17T00:00:00.000,Open - Dup,18-03382202,Pothole in Street,1043 W MONROE ST,60607,1169478.98988757,1899738.68138926,25,12,28,41.880273519341316,-87.65364902536925,0
137,2018-12-17T00:00:00.000,Open,18-03380164,Pothole in Street,10000 S LOWE AVE,60628,1173734.22041523,1838565.30998811,34,22,73,41.71233837166806,-87.63948165944346,0
138,2018-12-17T00:00:00.000,Open - Dup,18-03384454,Pothole in Street,2726 W FULLERTON AVE,60647,1157669.32999496,1915838.8004238,1,14,22,41.92493008639536,-87.69608878206519,0
139,2018-12-17T00:00:00.000,Open - Dup,18-03378259,Pothole in Street,10545 S GREEN BAY AVE,60617,1200522.11567957,1835444.43898905,10,4,52,41.70320943312109,-87.54119331660218,0
140,2018-12-17T00:00:00.000,Open,18-03382580,Pothole in Street,5508 S WHIPPLE ST,60629,1156983.41987588,1867954.63147321,14,8,63,41.793262715166,-87.70003353845321,0
141,2018-12-17T00:00:00.000,Open,18-03382231,Pothole in Street,1344 E 88TH ST,60619,1186717.17058041,1846902.79442069,8,4,48,41.73512813995258,-87.59118119252408,0
142,2018-12-17T00:00:00.000,Open,18-03378149,Pothole in Street,3428 W 71ST PL,60629,1154752.1261333,1856988.88992858,17,8,66,41.763490839819234,-87.70886370751252,0
143,2018-12-17T00:00:00.000,Open - Dup,18-03378708,Pothole in Street,4200 W CULLOM AVE,60641,1147631.49301898,1928247.45921602,39,17,16,41.95917821873021,-87.73271583693095,0
144,2018-12-17T00:00:00.000,Open,18-03383135,Pothole in Street,3925 W 68TH PL,60629,1151380.93958865,1858890.69367215,13,8,65,41.76855589052605,-87.72108699237371,0
145,2018-12-17T00:00:00.000,Open,18-03384615,Pothole in Street,3707 E 116TH ST,60617,1202649.03596908,1828663.15979885,10,4,52,41.68446143369229,-87.5337230146384,0
146,2018-12-17T00:00:00.000,Open,18-03383524,Pothole in Street,4834 N LONG AVE,60630,1139493.99281089,1931476.56901999,45,16,11,41.968742301512435,-87.7624442097803,0
