,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
44,2018-12-17T00:00:00.000,Open,18-03383619,Garbage Cart Black Maintenance/Replacement,11366 S HAMLIN AVE,60655,1153219.448,1828905.58,19,22,74,41.68587343,-87.71485069,0
45,2018-12-17T00:00:00.000,Open - Dup,18-03378469,Garbage Cart Black Maintenance/Replacement,4113 W HARRISON ST,60624,1149002.49,1897040.345,24,11,26,41.87330148,-87.72840738,0
46,2018-12-17T00:00:00.000,Open - Dup,18-03384496,Garbage Cart Black Maintenance/Replacement,11366 S HAMLIN AVE,60655,1153219.448,1828905.58,19,22,74,41.68587343,-87.71485069,0
47,2018-12-17T00:00:00.000,Open,18-03383935,Garbage Cart Black Maintenance/Replacement,3001 N KEATING AVE,60641,1144201.024,1919531.627,31,25,19,41.93529388,-87.74532615,0
48,2018-12-17T00:00:00.000,Open,18-03380016,Garbage Cart Black Maintenance/Replacement,6808 W HOBART AVE,60631,1129833.722,1937070.24,41,16,10,41.98366865,-87.79808439,0
49,2018-12-17T00:00:00.000,Open,18-03381013,Garbage Cart Black Maintenance/Replacement,4514 N MOZART ST,60625,1156564.917,1929856.534,33,17,14,41.96351938,-87.69990532,0
50,2018-12-17T00:00:00.000,Open,18-03381731,Garbage Cart Black Maintenance/Replacement,6642 S ST LAWRENCE AVE,60637,1181376.75,1861102.197,20,3,42,41.77359683,-87.6107964,0
51,2018-12-17T00:00:00.000,Open,18-03379671,Garbage Cart Black Maintenance/Replacement,1915 W MARQUETTE RD,60636,1164681.548,1860236.908,16,7,67,41.77198733,-87.67194028,0
52,2018-12-17T00:00:00.000,Open,18-03381433,Garbage Cart Black Maintenance/Replacement,4856 W CHICAGO AVE,60651,1143832.305,1904870.499,37,15,25,41.8950961,-87.74806073,0
53,2018-12-17T00:00:00.000,Open,18-03385306,Garbage Cart Black Maintenance/Replacement,7306 S MAY ST,60621,1169916.963,1856352.404,17,7,68,41.76117331,-87.65294474,0
54,2018-12-17T00:00:00.000,Open,18-03382949,Garbage Cart Black Maintenance/Replacement,2150 N AVERS AVE,60647,1150372.207,1913678.868,26,25,22,41.92054836,-87.72313619,0
55,2018-12-17T00:00:00.000,Open,18-03379489,Garbage Cart Black Maintenance/Replacement,8559 S INGLESIDE AVE,60619,1184048.599,1848429.365,8,6,44,41.73862114,-87.60108994,0
56,2018-12-17T00:00:00.000,Open,18-03380154,Garbage Cart Black Maintenance/Replacement,7424 S HARVARD AVE,60621,1175241.29,1855721.543,6,7,69,41.75914712,-87.63344716,0
57,2018-12-17T00:00:00.000,Open,18-03379353,Garbage Cart Black Maintenance/Replacement,324 N MAYFIELD AVE,60644,1137104.166,1901543.126,29,15,25,41.88640499,-87.77214725,0
58,2018-12-17T00:00:00.000,Open,18-03383731,Garbage Cart Black Maintenance/Replacement,5848 S TRIPP AVE,60629,1149034.957,1865483.709,13,8,62,41.78624409,-87.72923177,0
59,2018-12-17T00:00:00.000,Open,18-03381562,Garbage Cart Black Maintenance/Replacement,5142 W MEDILL AVE,60639,1141719.855,1915140.11,36,25,19,41.92331432,-87.75538054,0
